name,url
Географічний факультет,http://www.univ.kiev.ua/ua/departments/geography/
Економічний факультет,http://www.univ.kiev.ua/ua/departments/economics/
Історичний факультет,http://www.univ.kiev.ua/ua/departments/history/
Механіко-математичний факультет,http://www.univ.kiev.ua/ua/departments/mm/
Факультет інформаційних технологій,http://www.univ.kiev.ua/ua/departments/it/
Факультет комп'ютерних наук та кібернетики,http://www.univ.kiev.ua/ua/departments/csc/
Факультет психології,http://www.univ.kiev.ua/ua/departments/psychology/
"Факультет радіофізики, електроніки та комп’ютерних систем",http://www.univ.kiev.ua/ua/departments/recs/
Факультет соціології,http://www.univ.kiev.ua/ua/departments/sociology/
Фізичний факультет,http://www.univ.kiev.ua/ua/departments/physics/
Філософський факультет,http://www.univ.kiev.ua/ua/departments/philosophy/
Хімічний факультет,http://www.univ.kiev.ua/ua/departments/chemistry/
Кафедра дослідження операцій,http://csc.knu.ua/uk/department/or
Кафедра інтелектуальних програмних систем,https://iss.csc.knu.ua/
Кафедра математичної інформатики,http://csc.knu.ua/uk/department/mi
Кафедра моделювання складних систем,http://csc.knu.ua/uk/department/csm
Кафедра обчислювальної математики,http://csc.knu.ua/uk/department/cm
Кафедра загальної психології,
Кафедра інтелектуальних та інформаційних систем,http://kiis.knu.ua/
Кафедра географії України,
Кафедра прикладної статистики,http://csc.knu.ua/uk/department/as
Кафедра системного аналізу і теорії прийняття рішень,http://csc.knu.ua/uk/department/sadmt
Кафедра теоретичної кібернетики,http://csc.knu.ua/uk/department/tc
Кафедра педагогіки,
Кафедра інформаційних систем та технологій,https://www.ist.knu.ua/
Кафедра геодезії та картографії,
Кафедра електрофізики,
Кафедра теорії та технології програмування,http://csc.knu.ua/uk/department/ttp
Кафедра психодіагностики та клінічної психології,
Кафедра психології розвитку,
Кафедра соціальної психології,
Кафедра кібербезпеки та захисту інформації,http://kbzi.knu.ua/
Кафедра мережевих та Інтернет технологій,http://nitd.knu.ua/
Кафедра гідрології та гідроекології,
Кафедра квантової радіофізики та наноелектроніки,
Кафедра галузевої соціології,
Кафедра методології та методів соціологічних досліджень,
Кафедра соціальних структур та соціальних відносин,
Кафедра астрономії та фізики космосу,
Кафедра алгебри і комп’ютерної математики,
Кафедра археології та музеєзнавства,
Кафедра архівознавства та спеціальних галузей історичної науки,
Кафедра екологічного менеджменту та підприємництва,
Кафедра економічної кібернетики,
Кафедра економіки підприємства,
Кафедра соціальної реабілітації та соціальної педагогіки,
Кафедра соціальної роботи,
Кафедра прикладних інформаційних систем,http://ais.knu.ua/
Кафедра програмних систем і технологій,http://pst.knu.ua/
Кафедра технологій управління,http://pm.fit.knu.ua/
Кафедра економічної та соціальної географії,
Кафедра землезнавства та геоморфології,
Кафедра країнознавства та туризму,
Кафедра метеорології та кліматології,
Кафедра комп'ютерної інженерії,
Кафедра математики та теоретичної радіофізики,
Кафедра медичної радіофізики,
Кафедра теорії та історії соціології,
Кафедра експериментальної фізики,
Кафедра загальної фізики,
Кафедра загальної математики,
Кафедра інтегральних та диференціальних рівнянь,
Кафедра математичного аналізу,
Кафедра математичної фізики,
Кафедра давньої і нової історії України,
Кафедра етнології та краєзнавства,
Кафедра історії мистецтв,
Кафедра історії Центральної та Східної Європи,
"Кафедра економічної теорії, макро- і мікроекономіки",
Кафедра іноземних мов,
Кафедра менеджменту інноваційної та інвестиційної діяльності,
Кафедра державного управління,
"Кафедра етики, естетики і культурології",
Кафедра аналітичної хімії,
Кафедра неорганічної хімії,
Кафедра органічної хімії,
Кафедра фізичної хімії,
Кафедра фізичної географії та геоекології,
Кафедра радіотехніки та радіоелектронних систем,
Кафедра фізичної електроніки,
Кафедра квантової теорії поля,
Кафедра молекулярної фізики,
Кафедра оптики,
Кафедра теоретичної фізики,
Кафедра комп’ютерних методів механіки і процесів керування,
Кафедра теоретичної та прикладної механіки,
"Кафедра теорії ймовірностей, статистики та актуарної математики",
Кафедра історії стародавнього світу та середніх віків,
Кафедра новітньої історії України,
Кафедра міжнародної економіки та маркетингу,
Кафедра обліку та аудиту,
Кафедра підприємництва,
"Кафедра страхування, банківської справи та ризик-менеджменту",
Кафедра історії філософії,
Кафедра логіки,
Кафедра політичних наук,
Кафедра хімії високомолекулярних сполук,
Кафедра фізики металів,
Кафедра фізики функціональних матеріалів,
Кафедра ядерної фізики,
Кафедра нової та новітньої історії зарубіжних країн,
Кафедра української історії і етнополітики,
Кафедра статистики та демографії,
Кафедра фінансів,
Кафедра політології,
Кафедра релігієзнавства,
Кафедра теоретичної і практичної філософії,
Кафедра української філософії та культури,
Кафедра філософії гуманітарних наук,
Кафедра філософії та методології науки,
